transaction_id,sender_upi,receiver_upi,location,amount,device_type,time,label
TXN33,user33@upi,merchant33@upi,Bangalore,55926,desktop,3,1
TXN34,user34@upi,merchant34@upi,Delhi,14032,tablet,20,0
TXN35,user35@upi,merchant35@upi,Hyderabad,3137,mobile,12,0
TXN36,user36@upi,merchant36@upi,Mumbai,5710,mobile,14,0
TXN37,user37@upi,merchant37@upi,Hyderabad,36097,emulator,4,1
TXN38,user38@upi,merchant38@upi,Delhi,12449,tablet,17,0
TXN39,user39@upi,merchant39@upi,Bangalore,8892,tablet,9,0
TXN40,user40@upi,merchant40@upi,Chennai,16412,tablet,9,0
TXN41,user41@upi,merchant41@upi,Delhi,3934,tablet,11,0
TXN42,user42@upi,merchant42@upi,Chennai,5633,tablet,15,0
TXN43,user43@upi,merchant43@upi,Chennai,9468,mobile,12,0
TXN44,user44@upi,merchant44@upi,Hyderabad,1376,mobile,6,0
TXN45,user45@upi,merchant45@upi,Mumbai,14954,mobile,21,0
TXN46,user46@upi,merchant46@upi,Delhi,12971,mobile,10,0
TXN47,user47@upi,merchant47@upi,Chennai,5511,tablet,21,0
TXN48,user48@upi,merchant48@upi,Delhi,786,mobile,16,0
TXN49,user49@upi,merchant49@upi,Chennai,5221,tablet,19,0
TXN50,user50@upi,merchant50@upi,Chennai,1637,desktop,20,0
TXN51,user51@upi,merchant51@upi,Chennai,12514,desktop,22,0
TXN52,user52@upi,merchant52@upi,Mumbai,12460,mobile,22,0
TXN53,user53@upi,merchant53@upi,Mumbai,2177,desktop,15,0
TXN54,user54@upi,merchant54@upi,Delhi,74573,emulator,4,1
TXN55,user55@upi,merchant55@upi,Delhi,1391,mobile,19,0
TXN56,user56@upi,merchant56@upi,Delhi,9867,mobile,8,0
TXN57,user57@upi,merchant57@upi,Mumbai,3101,mobile,9,0
TXN58,user58@upi,merchant58@upi,Mumbai,13723,desktop,17,0
TXN59,user59@upi,merchant59@upi,Hyderabad,3497,tablet,20,0
TXN60,user60@upi,merchant60@upi,Delhi,7537,desktop,14,0
TXN61,user61@upi,merchant61@upi,Chennai,8493,tablet,16,0
TXN62,user62@upi,merchant62@upi,Mumbai,10253,mobile,19,0
TXN63,user63@upi,merchant63@upi,Hyderabad,2470,tablet,12,0
TXN64,user64@upi,merchant64@upi,Delhi,2570,tablet,18,0
TXN65,user65@upi,merchant65@upi,Bangalore,88208,emulator,4,1
TXN66,user66@upi,merchant66@upi,Chennai,9843,desktop,17,0
TXN67,user67@upi,merchant67@upi,Delhi,13019,tablet,9,0
TXN68,user68@upi,merchant68@upi,Chennai,6206,desktop,11,0
TXN69,user69@upi,merchant69@upi,Chennai,11629,desktop,7,0
TXN70,user70@upi,merchant70@upi,Delhi,17054,tablet,14,0
TXN71,user71@upi,merchant71@upi,Delhi,2919,tablet,18,0
TXN72,user72@upi,merchant72@upi,Hyderabad,2036,mobile,10,0
TXN73,user73@upi,merchant73@upi,Hyderabad,104204,emulator,4,1
TXN74,user74@upi,merchant74@upi,Chennai,85787,desktop,0,1
TXN75,user75@upi,merchant75@upi,Hyderabad,7427,tablet,21,0
TXN76,user76@upi,merchant76@upi,Delhi,11230,tablet,16,0
TXN77,user77@upi,merchant77@upi,Mumbai,3748,desktop,11,0
TXN78,user78@upi,merchant78@upi,Chennai,9302,desktop,13,0
TXN79,user79@upi,merchant79@upi,Delhi,1068,mobile,13,0
TXN80,user80@upi,merchant80@upi,Chennai,628,desktop,6,0
TXN81,user81@upi,merchant81@upi,Bangalore,2571,tablet,12,0
TXN82,user82@upi,merchant82@upi,Bangalore,12563,desktop,19,0
TXN83,user83@upi,merchant83@upi,Mumbai,11719,mobile,20,0
TXN84,user84@upi,merchant84@upi,Chennai,117668,desktop,23,1
TXN85,user85@upi,merchant85@upi,Mumbai,4683,tablet,10,0
TXN86,user86@upi,merchant86@upi,Chennai,15128,mobile,16,0
TXN87,user87@upi,merchant87@upi,Delhi,30139,emulator,0,1
TXN88,user88@upi,merchant88@upi,Chennai,17584,desktop,15,0
TXN89,user89@upi,merchant89@upi,Mumbai,4297,mobile,7,0
TXN90,user90@upi,merchant90@upi,Delhi,3203,mobile,12,0
TXN91,user91@upi,merchant91@upi,Delhi,15072,tablet,18,0
TXN92,user92@upi,merchant92@upi,Mumbai,8243,desktop,22,0
TXN93,user93@upi,merchant93@upi,Chennai,65621,desktop,3,1
TXN94,user94@upi,merchant94@upi,Bangalore,17634,mobile,18,0
TXN95,user95@upi,merchant95@upi,Bangalore,10505,desktop,18,0
TXN96,user96@upi,merchant96@upi,Chennai,10177,desktop,6,0
TXN97,user97@upi,merchant97@upi,Delhi,4973,tablet,14,0
TXN98,user98@upi,merchant98@upi,Mumbai,10417,mobile,8,0
TXN99,user99@upi,merchant99@upi,Mumbai,5186,desktop,11,0
TXN100,user100@upi,merchant100@upi,Delhi,3376,mobile,22,0
TXN101,user101@upi,merchant101@upi,Mumbai,3225,desktop,10,0
TXN102,user102@upi,merchant102@upi,Delhi,100572,desktop,23,1
TXN103,user103@upi,merchant103@upi,Mumbai,5129,desktop,19,0
TXN104,user104@upi,merchant104@upi,Bangalore,2381,mobile,11,0
TXN105,user105@upi,merchant105@upi,Delhi,16794,tablet,15,0
TXN106,user106@upi,merchant106@upi,Hyderabad,75187,emulator,4,1
TXN107,user107@upi,merchant107@upi,Mumbai,18540,tablet,15,0
TXN108,user108@upi,merchant108@upi,Delhi,14628,desktop,20,0
TXN109,user109@upi,merchant109@upi,Chennai,8318,desktop,17,0
TXN110,user110@upi,merchant110@upi,Mumbai,15913,desktop,17,0
TXN111,user111@upi,merchant111@upi,Chennai,5369,desktop,7,0
TXN112,user112@upi,merchant112@upi,Hyderabad,5784,tablet,14,0
TXN113,user113@upi,merchant113@upi,Delhi,15846,mobile,11,0
TXN114,user114@upi,merchant114@upi,Hyderabad,3585,desktop,11,0
TXN115,user115@upi,merchant115@upi,Delhi,3436,mobile,12,0
TXN116,user116@upi,merchant116@upi,Mumbai,11899,mobile,16,0
TXN117,user117@upi,merchant117@upi,Chennai,8800,mobile,22,0
TXN118,user118@upi,merchant118@upi,Mumbai,13284,mobile,12,0
TXN119,user119@upi,merchant119@upi,Bangalore,15076,desktop,8,0
TXN120,user120@upi,merchant120@upi,Mumbai,6053,mobile,20,0
TXN121,user121@upi,merchant121@upi,Delhi,19540,mobile,10,0
TXN122,user122@upi,merchant122@upi,Delhi,9833,mobile,10,0
TXN123,user123@upi,merchant123@upi,Mumbai,6981,mobile,9,0
TXN124,user124@upi,merchant124@upi,Bangalore,17183,desktop,10,0
TXN125,user125@upi,merchant125@upi,Chennai,11213,mobile,20,0
TXN126,user126@upi,merchant126@upi,Delhi,93936,emulator,4,1
TXN127,user127@upi,merchant127@upi,Chennai,16099,tablet,19,0
TXN128,user128@upi,merchant128@upi,Delhi,13550,tablet,15,0
TXN129,user129@upi,merchant129@upi,Chennai,2383,desktop,20,0
TXN130,user130@upi,merchant130@upi,Hyderabad,10997,mobile,9,0
TXN131,user131@upi,merchant131@upi,Bangalore,86907,desktop,3,1
TXN132,user132@upi,merchant132@upi,Chennai,7853,tablet,22,0
TXN133,user133@upi,merchant133@upi,Hyderabad,19665,mobile,9,0
TXN134,user134@upi,merchant134@upi,Delhi,13562,tablet,21,0
TXN135,user135@upi,merchant135@upi,Bangalore,19506,tablet,13,0
TXN136,user136@upi,merchant136@upi,Delhi,10872,desktop,8,0
TXN137,user137@upi,merchant137@upi,Mumbai,18918,desktop,22,0
TXN138,user138@upi,merchant138@upi,Bangalore,7185,mobile,9,0
TXN139,user139@upi,merchant139@upi,Chennai,13051,desktop,14,0
TXN140,user140@upi,merchant140@upi,Chennai,52351,emulator,2,1
TXN141,user141@upi,merchant141@upi,Delhi,16241,mobile,11,0
TXN142,user142@upi,merchant142@upi,Mumbai,71704,desktop,4,1
TXN143,user143@upi,merchant143@upi,Bangalore,117380,desktop,0,1
TXN144,user144@upi,merchant144@upi,Bangalore,4576,tablet,7,0
TXN145,user145@upi,merchant145@upi,Hyderabad,16616,mobile,15,0
TXN146,user146@upi,merchant146@upi,Chennai,2752,tablet,15,0
TXN147,user147@upi,merchant147@upi,Delhi,19429,mobile,13,0
TXN148,user148@upi,merchant148@upi,Chennai,3151,mobile,17,0
TXN149,user149@upi,merchant149@upi,Hyderabad,11051,desktop,21,0
TXN150,user150@upi,merchant150@upi,Hyderabad,7424,desktop,15,0
TXN151,user151@upi,merchant151@upi,Mumbai,12335,tablet,7,0
TXN152,user152@upi,merchant152@upi,Mumbai,3590,desktop,19,0
TXN153,user153@upi,merchant153@upi,Mumbai,10998,tablet,22,0
TXN154,user154@upi,merchant154@upi,Mumbai,612,mobile,7,0
TXN155,user155@upi,merchant155@upi,Chennai,19470,tablet,19,0
TXN156,user156@upi,merchant156@upi,Hyderabad,13522,desktop,8,0
TXN157,user157@upi,merchant157@upi,Mumbai,4536,mobile,11,0
TXN158,user158@upi,merchant158@upi,Chennai,19578,tablet,20,0
TXN159,user159@upi,merchant159@upi,Chennai,18920,desktop,7,0
TXN160,user160@upi,merchant160@upi,Delhi,11631,tablet,12,0
TXN161,user161@upi,merchant161@upi,Bangalore,13474,tablet,6,0
TXN162,user162@upi,merchant162@upi,Chennai,3519,tablet,19,0
TXN163,user163@upi,merchant163@upi,Delhi,14554,mobile,15,0
TXN164,user164@upi,merchant164@upi,Chennai,8568,mobile,14,0
TXN165,user165@upi,merchant165@upi,Chennai,9955,desktop,14,0
TXN166,user166@upi,merchant166@upi,Bangalore,17794,desktop,13,0
TXN167,user167@upi,merchant167@upi,Delhi,16846,mobile,8,0
TXN168,user168@upi,merchant168@upi,Bangalore,4929,mobile,12,0
TXN169,user169@upi,merchant169@upi,Bangalore,9046,mobile,13,0
TXN170,user170@upi,merchant170@upi,Hyderabad,5455,tablet,10,0
TXN171,user171@upi,merchant171@upi,Bangalore,65236,desktop,4,1
TXN172,user172@upi,merchant172@upi,Bangalore,15626,tablet,10,0
TXN173,user173@upi,merchant173@upi,Mumbai,16101,desktop,20,0
TXN174,user174@upi,merchant174@upi,Delhi,10088,tablet,16,0
TXN175,user175@upi,merchant175@upi,Hyderabad,1434,desktop,20,0
TXN176,user176@upi,merchant176@upi,Delhi,4691,tablet,17,0
TXN177,user177@upi,merchant177@upi,Mumbai,13739,desktop,6,0
TXN178,user178@upi,merchant178@upi,Bangalore,45676,emulator,2,1
TXN179,user179@upi,merchant179@upi,Bangalore,6100,desktop,8,0
TXN180,user180@upi,merchant180@upi,Chennai,16386,tablet,17,0
TXN181,user181@upi,merchant181@upi,Mumbai,2366,mobile,22,0
TXN182,user182@upi,merchant182@upi,Chennai,7900,tablet,12,0
TXN183,user183@upi,merchant183@upi,Chennai,42285,emulator,4,1
TXN184,user184@upi,merchant184@upi,Chennai,42253,desktop,3,1
TXN185,user185@upi,merchant185@upi,Bangalore,13824,tablet,19,0
TXN186,user186@upi,merchant186@upi,Mumbai,12977,desktop,15,0
TXN187,user187@upi,merchant187@upi,Mumbai,18562,mobile,18,0
TXN188,user188@upi,merchant188@upi,Hyderabad,89745,emulator,0,1
TXN189,user189@upi,merchant189@upi,Bangalore,6981,mobile,14,0
TXN190,user190@upi,merchant190@upi,Chennai,5104,mobile,22,0
TXN191,user191@upi,merchant191@upi,Mumbai,12380,desktop,12,0
TXN192,user192@upi,merchant192@upi,Mumbai,18830,desktop,12,0
TXN193,user193@upi,merchant193@upi,Mumbai,19099,desktop,22,0
TXN194,user194@upi,merchant194@upi,Mumbai,7191,desktop,8,0
TXN195,user195@upi,merchant195@upi,Delhi,2225,tablet,6,0
TXN196,user196@upi,merchant196@upi,Bangalore,13364,tablet,17,0
TXN197,user197@upi,merchant197@upi,Bangalore,15046,tablet,10,0
TXN198,user198@upi,merchant198@upi,Delhi,174,desktop,9,0
TXN199,user199@upi,merchant199@upi,Hyderabad,18453,desktop,21,0
TXN200,user200@upi,merchant200@upi,Chennai,6939,desktop,14,0
TXN201,user201@upi,merchant201@upi,Delhi,3402,tablet,17,0
TXN202,user202@upi,merchant202@upi,Bangalore,4334,desktop,8,0
TXN203,user203@upi,merchant203@upi,Chennai,2565,mobile,21,0
TXN204,user204@upi,merchant204@upi,Hyderabad,4515,desktop,10,0
TXN205,user205@upi,merchant205@upi,Bangalore,5012,tablet,17,0
TXN206,user206@upi,merchant206@upi,Mumbai,19744,desktop,9,0
TXN207,user207@upi,merchant207@upi,Chennai,383,mobile,22,0
TXN208,user208@upi,merchant208@upi,Hyderabad,50119,emulator,4,1
TXN209,user209@upi,merchant209@upi,Delhi,16911,tablet,20,0
TXN210,user210@upi,merchant210@upi,Delhi,117628,desktop,3,1
TXN211,user211@upi,merchant211@upi,Bangalore,3858,mobile,19,0
TXN212,user212@upi,merchant212@upi,Hyderabad,10666,mobile,6,0
TXN213,user213@upi,merchant213@upi,Mumbai,19958,tablet,13,0
TXN214,user214@upi,merchant214@upi,Delhi,108267,desktop,1,1
TXN215,user215@upi,merchant215@upi,Bangalore,430,desktop,9,0
TXN216,user216@upi,merchant216@upi,Delhi,17403,desktop,16,0
TXN217,user217@upi,merchant217@upi,Mumbai,17653,mobile,15,0
TXN218,user218@upi,merchant218@upi,Bangalore,3163,tablet,18,0
TXN219,user219@upi,merchant219@upi,Mumbai,12688,desktop,19,0
TXN220,user220@upi,merchant220@upi,Mumbai,6848,desktop,15,0
TXN221,user221@upi,merchant221@upi,Chennai,5776,tablet,19,0
TXN222,user222@upi,merchant222@upi,Delhi,4077,tablet,6,0
TXN223,user223@upi,merchant223@upi,Delhi,2967,tablet,10,0
TXN224,user224@upi,merchant224@upi,Mumbai,3842,desktop,21,0
TXN225,user225@upi,merchant225@upi,Delhi,15126,desktop,15,0
TXN226,user226@upi,merchant226@upi,Chennai,11693,tablet,21,0
TXN227,user227@upi,merchant227@upi,Mumbai,3017,tablet,16,0
TXN228,user228@upi,merchant228@upi,Mumbai,92859,emulator,0,1
TXN229,user229@upi,merchant229@upi,Bangalore,15401,mobile,22,0
TXN230,user230@upi,merchant230@upi,Bangalore,16250,desktop,19,0
TXN231,user231@upi,merchant231@upi,Hyderabad,3854,tablet,17,0
TXN232,user232@upi,merchant232@upi,Hyderabad,7717,mobile,6,0
TXN233,user233@upi,merchant233@upi,Bangalore,1289,tablet,21,0
TXN234,user234@upi,merchant234@upi,Delhi,11450,mobile,9,0
TXN235,user235@upi,merchant235@upi,Mumbai,14049,mobile,16,0
TXN236,user236@upi,merchant236@upi,Bangalore,13302,desktop,20,0
TXN237,user237@upi,merchant237@upi,Chennai,19882,desktop,12,0
TXN238,user238@upi,merchant238@upi,Hyderabad,9129,tablet,20,0
TXN239,user239@upi,merchant239@upi,Chennai,6469,tablet,12,0
TXN240,user240@upi,merchant240@upi,Hyderabad,30156,desktop,0,1
TXN241,user241@upi,merchant241@upi,Bangalore,10357,mobile,22,0
TXN242,user242@upi,merchant242@upi,Hyderabad,3695,desktop,18,0
TXN243,user243@upi,merchant243@upi,Chennai,18907,tablet,12,0
TXN244,user244@upi,merchant244@upi,Bangalore,72781,desktop,0,1
TXN245,user245@upi,merchant245@upi,Chennai,19294,mobile,14,0
TXN246,user246@upi,merchant246@upi,Delhi,16780,mobile,21,0
TXN247,user247@upi,merchant247@upi,Bangalore,19413,tablet,13,0
TXN248,user248@upi,merchant248@upi,Delhi,3357,tablet,21,0
TXN249,user249@upi,merchant249@upi,Hyderabad,15374,mobile,22,0
TXN250,user250@upi,merchant250@upi,Delhi,9094,tablet,8,0
TXN251,user251@upi,merchant251@upi,Hyderabad,1316,tablet,17,0
TXN252,user252@upi,merchant252@upi,Delhi,8081,desktop,19,0
TXN253,user253@upi,merchant253@upi,Chennai,11242,mobile,18,0
TXN254,user254@upi,merchant254@upi,Hyderabad,14922,desktop,19,0
TXN255,user255@upi,merchant255@upi,Mumbai,1598,mobile,22,0
TXN256,user256@upi,merchant256@upi,Delhi,6353,desktop,8,0
TXN257,user257@upi,merchant257@upi,Chennai,18108,tablet,12,0
TXN258,user258@upi,merchant258@upi,Chennai,87201,desktop,0,1
TXN259,user259@upi,merchant259@upi,Hyderabad,6962,tablet,8,0
TXN260,user260@upi,merchant260@upi,Chennai,9456,desktop,8,0
TXN261,user261@upi,merchant261@upi,Hyderabad,6894,desktop,16,0
TXN262,user262@upi,merchant262@upi,Mumbai,8501,tablet,19,0
TXN263,user263@upi,merchant263@upi,Mumbai,18025,tablet,15,0
TXN264,user264@upi,merchant264@upi,Bangalore,6508,mobile,11,0
TXN265,user265@upi,merchant265@upi,Delhi,663,desktop,12,0
TXN266,user266@upi,merchant266@upi,Hyderabad,17049,tablet,20,0
TXN267,user267@upi,merchant267@upi,Mumbai,820,desktop,6,0
TXN268,user268@upi,merchant268@upi,Hyderabad,17312,tablet,8,0
TXN269,user269@upi,merchant269@upi,Hyderabad,10805,tablet,16,0
TXN270,user270@upi,merchant270@upi,Delhi,17413,mobile,16,0
TXN271,user271@upi,merchant271@upi,Delhi,12384,tablet,8,0
TXN272,user272@upi,merchant272@upi,Delhi,94852,desktop,1,1
TXN273,user273@upi,merchant273@upi,Mumbai,18697,tablet,12,0
TXN274,user274@upi,merchant274@upi,Mumbai,12497,tablet,13,0
TXN275,user275@upi,merchant275@upi,Hyderabad,7702,desktop,20,0
TXN276,user276@upi,merchant276@upi,Delhi,35074,emulator,0,1
TXN277,user277@upi,merchant277@upi,Hyderabad,2956,mobile,17,0
TXN278,user278@upi,merchant278@upi,Delhi,2130,mobile,17,0
TXN279,user279@upi,merchant279@upi,Chennai,14867,mobile,20,0
TXN280,user280@upi,merchant280@upi,Chennai,11078,desktop,13,0
TXN281,user281@upi,merchant281@upi,Chennai,10903,desktop,10,0
TXN282,user282@upi,merchant282@upi,Hyderabad,13343,mobile,10,0
TXN283,user283@upi,merchant283@upi,Bangalore,3934,tablet,20,0
TXN284,user284@upi,merchant284@upi,Chennai,19121,tablet,10,0
TXN285,user285@upi,merchant285@upi,Bangalore,2872,tablet,17,0
TXN286,user286@upi,merchant286@upi,Bangalore,6533,desktop,17,0
TXN287,user287@upi,merchant287@upi,Delhi,11687,desktop,8,0
TXN288,user288@upi,merchant288@upi,Hyderabad,11594,mobile,13,0
TXN289,user289@upi,merchant289@upi,Chennai,17605,mobile,8,0
TXN290,user290@upi,merchant290@upi,Delhi,97867,desktop,1,1
TXN291,user291@upi,merchant291@upi,Mumbai,89699,emulator,0,1
TXN292,user292@upi,merchant292@upi,Chennai,18862,mobile,17,0
TXN293,user293@upi,merchant293@upi,Hyderabad,13011,tablet,8,0
TXN294,user294@upi,merchant294@upi,Chennai,5769,tablet,12,0
TXN295,user295@upi,merchant295@upi,Hyderabad,49674,desktop,3,1
TXN296,user296@upi,merchant296@upi,Chennai,39248,emulator,4,1
TXN297,user297@upi,merchant297@upi,Chennai,6161,tablet,6,0
TXN298,user298@upi,merchant298@upi,Mumbai,17877,desktop,18,0
TXN299,user299@upi,merchant299@upi,Hyderabad,14803,tablet,16,0
TXN300,user300@upi,merchant300@upi,Bangalore,17796,mobile,8,0
TXN301,user301@upi,merchant301@upi,Chennai,11850,mobile,17,0
TXN302,user302@upi,merchant302@upi,Mumbai,71295,emulator,23,1
TXN303,user303@upi,merchant303@upi,Delhi,18297,desktop,21,0
TXN304,user304@upi,merchant304@upi,Bangalore,7310,desktop,19,0
TXN305,user305@upi,merchant305@upi,Chennai,12739,mobile,7,0
TXN306,user306@upi,merchant306@upi,Delhi,12517,tablet,22,0
TXN307,user307@upi,merchant307@upi,Bangalore,8387,mobile,18,0
TXN308,user308@upi,merchant308@upi,Hyderabad,1072,tablet,6,0
TXN309,user309@upi,merchant309@upi,Bangalore,1469,tablet,21,0
TXN310,user310@upi,merchant310@upi,Delhi,3031,tablet,22,0
TXN311,user311@upi,merchant311@upi,Bangalore,18633,desktop,19,0
TXN312,user312@upi,merchant312@upi,Mumbai,114739,desktop,1,1
TXN313,user313@upi,merchant313@upi,Mumbai,9218,mobile,13,0
TXN314,user314@upi,merchant314@upi,Chennai,16293,tablet,16,0
TXN315,user315@upi,merchant315@upi,Hyderabad,4630,tablet,17,0
TXN316,user316@upi,merchant316@upi,Bangalore,3670,desktop,7,0
TXN317,user317@upi,merchant317@upi,Mumbai,6591,mobile,15,0
TXN318,user318@upi,merchant318@upi,Chennai,1528,tablet,22,0
TXN319,user319@upi,merchant319@upi,Bangalore,11646,desktop,9,0
TXN320,user320@upi,merchant320@upi,Chennai,16850,mobile,16,0
TXN321,user321@upi,merchant321@upi,Bangalore,5279,desktop,14,0
TXN322,user322@upi,merchant322@upi,Chennai,10266,desktop,16,0
TXN323,user323@upi,merchant323@upi,Chennai,14361,desktop,13,0
TXN324,user324@upi,merchant324@upi,Bangalore,9095,mobile,22,0
TXN325,user325@upi,merchant325@upi,Chennai,5534,desktop,12,0
TXN326,user326@upi,merchant326@upi,Mumbai,14566,mobile,10,0
TXN327,user327@upi,merchant327@upi,Mumbai,18344,desktop,19,0
TXN328,user328@upi,merchant328@upi,Mumbai,4334,tablet,6,0
TXN329,user329@upi,merchant329@upi,Chennai,2722,mobile,16,0
TXN330,user330@upi,merchant330@upi,Hyderabad,19362,tablet,10,0
TXN331,user331@upi,merchant331@upi,Mumbai,9591,tablet,18,0
TXN332,user332@upi,merchant332@upi,Delhi,119658,emulator,0,1
TXN333,user333@upi,merchant333@upi,Hyderabad,18872,tablet,12,0
TXN334,user334@upi,merchant334@upi,Bangalore,13599,desktop,19,0
TXN335,user335@upi,merchant335@upi,Bangalore,14664,tablet,20,0
TXN336,user336@upi,merchant336@upi,Delhi,19299,tablet,18,0
TXN337,user337@upi,merchant337@upi,Chennai,10051,tablet,15,0
TXN338,user338@upi,merchant338@upi,Bangalore,17212,mobile,17,0
TXN339,user339@upi,merchant339@upi,Mumbai,13557,mobile,18,0
TXN340,user340@upi,merchant340@upi,Mumbai,19116,mobile,9,0
TXN341,user341@upi,merchant341@upi,Chennai,110393,emulator,1,1
TXN342,user342@upi,merchant342@upi,Hyderabad,6778,mobile,13,0
TXN343,user343@upi,merchant343@upi,Delhi,2970,tablet,16,0
TXN344,user344@upi,merchant344@upi,Mumbai,8001,desktop,7,0
TXN345,user345@upi,merchant345@upi,Bangalore,52644,desktop,1,1
TXN346,user346@upi,merchant346@upi,Delhi,12694,mobile,11,0
TXN347,user347@upi,merchant347@upi,Bangalore,3753,tablet,8,0
TXN348,user348@upi,merchant348@upi,Chennai,79,desktop,8,0
TXN349,user349@upi,merchant349@upi,Delhi,6001,mobile,10,0
TXN350,user350@upi,merchant350@upi,Bangalore,1080,mobile,22,0
TXN351,user351@upi,merchant351@upi,Hyderabad,14299,mobile,12,0
TXN352,user352@upi,merchant352@upi,Bangalore,87099,emulator,2,1
TXN353,user353@upi,merchant353@upi,Mumbai,15896,tablet,11,0
TXN354,user354@upi,merchant354@upi,Mumbai,69961,desktop,4,1
TXN355,user355@upi,merchant355@upi,Delhi,14060,mobile,6,0
TXN356,user356@upi,merchant356@upi,Chennai,15122,tablet,13,0
TXN357,user357@upi,merchant357@upi,Bangalore,12661,desktop,8,0
TXN358,user358@upi,merchant358@upi,Delhi,3094,desktop,8,0
TXN359,user359@upi,merchant359@upi,Chennai,17548,desktop,19,0
TXN360,user360@upi,merchant360@upi,Hyderabad,7096,tablet,15,0
TXN361,user361@upi,merchant361@upi,Mumbai,18660,mobile,11,0
TXN362,user362@upi,merchant362@upi,Chennai,2966,mobile,12,0
TXN363,user363@upi,merchant363@upi,Chennai,117709,emulator,23,1
TXN364,user364@upi,merchant364@upi,Chennai,6979,mobile,14,0
TXN365,user365@upi,merchant365@upi,Delhi,3711,tablet,8,0
TXN366,user366@upi,merchant366@upi,Chennai,3411,desktop,20,0
TXN367,user367@upi,merchant367@upi,Bangalore,17183,tablet,16,0
TXN368,user368@upi,merchant368@upi,Chennai,13913,mobile,14,0
TXN369,user369@upi,merchant369@upi,Bangalore,9930,mobile,10,0
TXN370,user370@upi,merchant370@upi,Chennai,7396,desktop,11,0
TXN371,user371@upi,merchant371@upi,Delhi,114846,emulator,3,1
TXN372,user372@upi,merchant372@upi,Delhi,36660,desktop,3,1
TXN373,user373@upi,merchant373@upi,Delhi,13593,tablet,10,0
TXN374,user374@upi,merchant374@upi,Bangalore,4435,tablet,13,0
TXN375,user375@upi,merchant375@upi,Delhi,4067,tablet,11,0
TXN376,user376@upi,merchant376@upi,Chennai,9873,mobile,8,0
TXN377,user377@upi,merchant377@upi,Delhi,8523,tablet,13,0
TXN378,user378@upi,merchant378@upi,Mumbai,399,mobile,15,0
TXN379,user379@upi,merchant379@upi,Mumbai,7848,desktop,20,0
TXN380,user380@upi,merchant380@upi,Mumbai,16970,desktop,20,0
TXN381,user381@upi,merchant381@upi,Bangalore,5265,tablet,19,0
TXN382,user382@upi,merchant382@upi,Delhi,11787,desktop,20,0
TXN383,user383@upi,merchant383@upi,Chennai,8889,desktop,20,0
TXN384,user384@upi,merchant384@upi,Bangalore,14546,tablet,14,0
TXN385,user385@upi,merchant385@upi,Bangalore,10460,tablet,9,0
TXN386,user386@upi,merchant386@upi,Delhi,12181,mobile,15,0
TXN387,user387@upi,merchant387@upi,Delhi,7308,mobile,7,0
TXN388,user388@upi,merchant388@upi,Bangalore,16793,tablet,12,0
TXN389,user389@upi,merchant389@upi,Mumbai,14785,mobile,12,0
